입력 문장,도수,술 종류,맛,tokens
럼 추천해줄래?,알 수 없음,럼,신맛,"['ᄅ', '##ᅥ', '##ᆷ', 'ᄎ', '##ᅮ', '##ᄎ', '##ᅥ', '##ᆫ', '##ᄒ', '##ᅢ', '##ᄌ', '##ᅮ', '##ᆯ', '##ᄅ', '##ᅢ', '?']"
달콤한 럼 중에서 낮은 도수의 것을 추천해줘.,낮은,럼,달달한,"['ᄃ', '##ᅡ', '##ᆯ', '##ᄏ', '##ᅩ', '##ᆷ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄅ', '##ᅥ', '##ᆷ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄋ', '##ᅦ', '##ᄉ', '##ᅥ', '[UNK]', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄋ', '##ᅴ', '[UNK]', 'ᄎ', '##ᅮ', '##ᄎ', '##ᅥ', '##ᆫ', '##ᄒ', '##ᅢ', '##ᄌ', '##ᅯ', '.']"
스위트한 럼 중에서 도수 중간인 게 궁금해요.,중간,럼,달달한,"['[UNK]', 'ᄅ', '##ᅥ', '##ᆷ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄋ', '##ᅦ', '##ᄉ', '##ᅥ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', '##ᄋ', '##ᅵ', '##ᆫ', 'ᄀ', '##ᅦ', 'ᄀ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅳ', '##ᆷ', '##ᄒ', '##ᅢ', '##ᄋ', '##ᅭ', '.']"
"마실 칵테일를 찾고 있어요. 매끄러운이고, 높은 도수면 좋겠어요.",높은,칵테일,부드러운,"['ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᆯ', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', '##ᄅ', '##ᅳ', '##ᆯ', '[UNK]', '[UNK]', '.', '[UNK]', ',', '[UNK]', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄆ', '##ᅧ', '##ᆫ', '[UNK]', '.']"
상큼한 맛이 나는 술을 추천해줘.,낮은,알 수 없음,상큼한,"['ᄉ', '##ᅡ', '##ᆼ', '##ᄏ', '##ᅳ', '##ᆷ', '##ᄒ', '##ᅡ', '##ᆫ', '[UNK]', 'ᄂ', '##ᅡ', '##ᄂ', '##ᅳ', '##ᆫ', 'ᄉ', '##ᅮ', '##ᆯ', '##ᄋ', '##ᅳ', '##ᆯ', 'ᄎ', '##ᅮ', '##ᄎ', '##ᅥ', '##ᆫ', '##ᄒ', '##ᅢ', '##ᄌ', '##ᅯ', '.']"
쓴맛 맛이 나는 술을 추천해줘.,알 수 없음,럼,쓴맛,"['[UNK]', '[UNK]', 'ᄂ', '##ᅡ', '##ᄂ', '##ᅳ', '##ᆫ', 'ᄉ', '##ᅮ', '##ᆯ', '##ᄋ', '##ᅳ', '##ᆯ', 'ᄎ', '##ᅮ', '##ᄎ', '##ᅥ', '##ᆫ', '##ᄒ', '##ᅢ', '##ᄌ', '##ᅯ', '.']"
칵테일를 마시고 싶어.,알 수 없음,칵테일,부드러운,"['ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', '##ᄅ', '##ᅳ', '##ᆯ', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᄀ', '##ᅩ', '[UNK]', '.']"
중간 도수로 산뜻한 위스키를 마셔보고 싶어요.,중간,위스키,상큼한,"['ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄅ', '##ᅩ', '[UNK]', '[UNK]', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅧ', '##ᄇ', '##ᅩ', '##ᄀ', '##ᅩ', '[UNK]', '.']"
달콤한 칵테일 중에서 중간 도수가 괜찮을까요?,중간,칵테일,달달한,"['ᄃ', '##ᅡ', '##ᆯ', '##ᄏ', '##ᅩ', '##ᆷ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄋ', '##ᅦ', '##ᄉ', '##ᅥ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄀ', '##ᅡ', '[UNK]', '?']"
톡 쏘는 럼 중에서 낮은 도수의 것을 추천해줘.,낮은,럼,신맛,"['ᄐ', '##ᅩ', '##ᆨ', 'ᄊ', '##ᅩ', '##ᄂ', '##ᅳ', '##ᆫ', 'ᄅ', '##ᅥ', '##ᆷ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄋ', '##ᅦ', '##ᄉ', '##ᅥ', '[UNK]', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄋ', '##ᅴ', '[UNK]', 'ᄎ', '##ᅮ', '##ᄎ', '##ᅥ', '##ᆫ', '##ᄒ', '##ᅢ', '##ᄌ', '##ᅯ', '.']"
도수가 낮은인 비터한 럼를 마셔보고 싶어요.,낮은,럼,쓴맛,"['ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄀ', '##ᅡ', '[UNK]', 'ᄇ', '##ᅵ', '##ᄐ', '##ᅥ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄅ', '##ᅥ', '##ᆷ', '##ᄅ', '##ᅳ', '##ᆯ', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅧ', '##ᄇ', '##ᅩ', '##ᄀ', '##ᅩ', '[UNK]', '.']"
스위트한 칵테일 중에서 높은 도수가 괜찮을까요?,높은,칵테일,달달한,"['[UNK]', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄋ', '##ᅦ', '##ᄉ', '##ᅥ', '[UNK]', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄀ', '##ᅡ', '[UNK]', '?']"
"지금 스위트한 위스키가 마시고 싶은데, 낮은 도수가 좋아.",낮은,위스키,달달한,"['ᄌ', '##ᅵ', '##ᄀ', '##ᅳ', '##ᆷ', '[UNK]', '[UNK]', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᄀ', '##ᅩ', '[UNK]', ',', '[UNK]', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄀ', '##ᅡ', '[UNK]', '.']"
쓴맛 맛이 나는 술을 추천해줘.,알 수 없음,럼,쓴맛,"['[UNK]', '[UNK]', 'ᄂ', '##ᅡ', '##ᄂ', '##ᅳ', '##ᆫ', 'ᄉ', '##ᅮ', '##ᆯ', '##ᄋ', '##ᅳ', '##ᆯ', 'ᄎ', '##ᅮ', '##ᄎ', '##ᅥ', '##ᆫ', '##ᄒ', '##ᅢ', '##ᄌ', '##ᅯ', '.']"
도수가 높은인 비터한 칵테일를 마셔보고 싶어요.,높은,칵테일,쓴맛,"['ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄀ', '##ᅡ', '[UNK]', 'ᄇ', '##ᅵ', '##ᄐ', '##ᅥ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', '##ᄅ', '##ᅳ', '##ᆯ', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅧ', '##ᄇ', '##ᅩ', '##ᄀ', '##ᅩ', '[UNK]', '.']"
"높은 도수의 쌉쌀한 칵테일, 추천할 만한 거 있어?",높은,칵테일,쓴맛,"['[UNK]', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄋ', '##ᅴ', 'ᄊ', '##ᅡ', '##ᆸ', '##ᄊ', '##ᅡ', '##ᆯ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', ',', 'ᄎ', '##ᅮ', '##ᄎ', '##ᅥ', '##ᆫ', '##ᄒ', '##ᅡ', '##ᆯ', 'ᄆ', '##ᅡ', '##ᆫ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄀ', '##ᅥ', '[UNK]', '?']"
높은 도수의 스위트한 칵테일 한 잔 어때?,높은,칵테일,달달한,"['[UNK]', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄋ', '##ᅴ', '[UNK]', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', 'ᄒ', '##ᅡ', '##ᆫ', 'ᄌ', '##ᅡ', '##ᆫ', '[UNK]', '?']"
신맛 술을 마시고 싶어.,낮은,알 수 없음,신맛,"['[UNK]', 'ᄉ', '##ᅮ', '##ᆯ', '##ᄋ', '##ᅳ', '##ᆯ', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᄀ', '##ᅩ', '[UNK]', '.']"
"마실 칵테일를 찾고 있어요. 톡 쏘는이고, 낮은 도수면 좋겠어요.",낮은,칵테일,신맛,"['ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᆯ', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', '##ᄅ', '##ᅳ', '##ᆯ', '[UNK]', '[UNK]', '.', 'ᄐ', '##ᅩ', '##ᆨ', 'ᄊ', '##ᅩ', '##ᄂ', '##ᅳ', '##ᆫ', '##ᄋ', '##ᅵ', '##ᄀ', '##ᅩ', ',', '[UNK]', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄆ', '##ᅧ', '##ᆫ', '[UNK]', '.']"
"지금 쌉쌀한 럼가 마시고 싶은데, 높은 도수가 좋아.",높은,럼,쓴맛,"['ᄌ', '##ᅵ', '##ᄀ', '##ᅳ', '##ᆷ', 'ᄊ', '##ᅡ', '##ᆸ', '##ᄊ', '##ᅡ', '##ᆯ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄅ', '##ᅥ', '##ᆷ', '##ᄀ', '##ᅡ', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᄀ', '##ᅩ', '[UNK]', ',', '[UNK]', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄀ', '##ᅡ', '[UNK]', '.']"
낮은 도수로 쌉쌀한 위스키를 마셔보고 싶어요.,낮은,위스키,쓴맛,"['[UNK]', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄅ', '##ᅩ', 'ᄊ', '##ᅡ', '##ᆸ', '##ᄊ', '##ᅡ', '##ᆯ', '##ᄒ', '##ᅡ', '##ᆫ', '[UNK]', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅧ', '##ᄇ', '##ᅩ', '##ᄀ', '##ᅩ', '[UNK]', '.']"
도수가 중간인 술을 추천해줘.,중간,알 수 없음,쓴맛,"['ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄀ', '##ᅡ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', '##ᄋ', '##ᅵ', '##ᆫ', 'ᄉ', '##ᅮ', '##ᆯ', '##ᄋ', '##ᅳ', '##ᆯ', 'ᄎ', '##ᅮ', '##ᄎ', '##ᅥ', '##ᆫ', '##ᄒ', '##ᅢ', '##ᄌ', '##ᅯ', '.']"
달달한 맛이 나는 술을 추천해줘.,중간,알 수 없음,달달한,"['ᄃ', '##ᅡ', '##ᆯ', '##ᄃ', '##ᅡ', '##ᆯ', '##ᄒ', '##ᅡ', '##ᆫ', '[UNK]', 'ᄂ', '##ᅡ', '##ᄂ', '##ᅳ', '##ᆫ', 'ᄉ', '##ᅮ', '##ᆯ', '##ᄋ', '##ᅳ', '##ᆯ', 'ᄎ', '##ᅮ', '##ᄎ', '##ᅥ', '##ᆫ', '##ᄒ', '##ᅢ', '##ᄌ', '##ᅯ', '.']"
상큼한 술을 마시고 싶어.,낮은,알 수 없음,상큼한,"['ᄉ', '##ᅡ', '##ᆼ', '##ᄏ', '##ᅳ', '##ᆷ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄉ', '##ᅮ', '##ᆯ', '##ᄋ', '##ᅳ', '##ᆯ', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᄀ', '##ᅩ', '[UNK]', '.']"
나는 중간 도수의 비터한 보드카을 마시고 싶어.,중간,보드카,쓴맛,"['ᄂ', '##ᅡ', '##ᄂ', '##ᅳ', '##ᆫ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄋ', '##ᅴ', 'ᄇ', '##ᅵ', '##ᄐ', '##ᅥ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄇ', '##ᅩ', '##ᄃ', '##ᅳ', '##ᄏ', '##ᅡ', '##ᄋ', '##ᅳ', '##ᆯ', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᄀ', '##ᅩ', '[UNK]', '.']"
낮은 도수의 술을 찾고 있어.,낮은,위스키,알 수 없음,"['[UNK]', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄋ', '##ᅴ', 'ᄉ', '##ᅮ', '##ᆯ', '##ᄋ', '##ᅳ', '##ᆯ', '[UNK]', '[UNK]', '.']"
소프트한 럼 중에서 중간 도수의 것을 추천해줘.,중간,럼,부드러운,"['ᄉ', '##ᅩ', '##ᄑ', '##ᅳ', '##ᄐ', '##ᅳ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄅ', '##ᅥ', '##ᆷ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄋ', '##ᅦ', '##ᄉ', '##ᅥ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄋ', '##ᅴ', '[UNK]', 'ᄎ', '##ᅮ', '##ᄎ', '##ᅥ', '##ᆫ', '##ᄒ', '##ᅢ', '##ᄌ', '##ᅯ', '.']"
중간 도수의 술을 찾고 있어.,중간,칵테일,알 수 없음,"['ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄋ', '##ᅴ', 'ᄉ', '##ᅮ', '##ᆯ', '##ᄋ', '##ᅳ', '##ᆯ', '[UNK]', '[UNK]', '.']"
"마실 럼를 찾고 있어요. 프레시한이고, 높은 도수면 좋겠어요.",높은,럼,상큼한,"['ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᆯ', 'ᄅ', '##ᅥ', '##ᆷ', '##ᄅ', '##ᅳ', '##ᆯ', '[UNK]', '[UNK]', '.', 'ᄑ', '##ᅳ', '##ᄅ', '##ᅦ', '##ᄉ', '##ᅵ', '##ᄒ', '##ᅡ', '##ᆫ', '##ᄋ', '##ᅵ', '##ᄀ', '##ᅩ', ',', '[UNK]', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄆ', '##ᅧ', '##ᆫ', '[UNK]', '.']"
낮은 도수의 매끄러운 칵테일 한 잔 어때?,낮은,칵테일,부드러운,"['[UNK]', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄋ', '##ᅴ', '[UNK]', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', 'ᄒ', '##ᅡ', '##ᆫ', 'ᄌ', '##ᅡ', '##ᆫ', '[UNK]', '?']"
부드러운 술을 마시고 싶어.,높은,알 수 없음,부드러운,"['ᄇ', '##ᅮ', '##ᄃ', '##ᅳ', '##ᄅ', '##ᅥ', '##ᄋ', '##ᅮ', '##ᆫ', 'ᄉ', '##ᅮ', '##ᆯ', '##ᄋ', '##ᅳ', '##ᆯ', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᄀ', '##ᅩ', '[UNK]', '.']"
톡 쏘는 럼 중에서 중간 도수의 것을 추천해줘.,중간,럼,신맛,"['ᄐ', '##ᅩ', '##ᆨ', 'ᄊ', '##ᅩ', '##ᄂ', '##ᅳ', '##ᆫ', 'ᄅ', '##ᅥ', '##ᆷ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄋ', '##ᅦ', '##ᄉ', '##ᅥ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄋ', '##ᅴ', '[UNK]', 'ᄎ', '##ᅮ', '##ᄎ', '##ᅥ', '##ᆫ', '##ᄒ', '##ᅢ', '##ᄌ', '##ᅯ', '.']"
중간 도수의 상큼한 위스키 한 잔 어때?,중간,위스키,신맛,"['ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄋ', '##ᅴ', 'ᄉ', '##ᅡ', '##ᆼ', '##ᄏ', '##ᅳ', '##ᆷ', '##ᄒ', '##ᅡ', '##ᆫ', '[UNK]', 'ᄒ', '##ᅡ', '##ᆫ', 'ᄌ', '##ᅡ', '##ᆫ', '[UNK]', '?']"
도수가 중간인 비터한 럼를 마셔보고 싶어요.,중간,럼,쓴맛,"['ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄀ', '##ᅡ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', '##ᄋ', '##ᅵ', '##ᆫ', 'ᄇ', '##ᅵ', '##ᄐ', '##ᅥ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄅ', '##ᅥ', '##ᆷ', '##ᄅ', '##ᅳ', '##ᆯ', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅧ', '##ᄇ', '##ᅩ', '##ᄀ', '##ᅩ', '[UNK]', '.']"
비터한 칵테일 중에서 도수 높은인 게 궁금해요.,높은,칵테일,쓴맛,"['ᄇ', '##ᅵ', '##ᄐ', '##ᅥ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄋ', '##ᅦ', '##ᄉ', '##ᅥ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '[UNK]', 'ᄀ', '##ᅦ', 'ᄀ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅳ', '##ᆷ', '##ᄒ', '##ᅢ', '##ᄋ', '##ᅭ', '.']"
"지금 달콤한 위스키가 마시고 싶은데, 낮은 도수가 좋아.",낮은,위스키,달달한,"['ᄌ', '##ᅵ', '##ᄀ', '##ᅳ', '##ᆷ', 'ᄃ', '##ᅡ', '##ᆯ', '##ᄏ', '##ᅩ', '##ᆷ', '##ᄒ', '##ᅡ', '##ᆫ', '[UNK]', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᄀ', '##ᅩ', '[UNK]', ',', '[UNK]', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄀ', '##ᅡ', '[UNK]', '.']"
나는 높은 도수의 소프트한 럼을 마시고 싶어.,높은,럼,부드러운,"['ᄂ', '##ᅡ', '##ᄂ', '##ᅳ', '##ᆫ', '[UNK]', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄋ', '##ᅴ', 'ᄉ', '##ᅩ', '##ᄑ', '##ᅳ', '##ᄐ', '##ᅳ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄅ', '##ᅥ', '##ᆷ', '##ᄋ', '##ᅳ', '##ᆯ', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᄀ', '##ᅩ', '[UNK]', '.']"
스위트한 럼 중에서 높은 도수의 것을 추천해줘.,높은,럼,달달한,"['[UNK]', 'ᄅ', '##ᅥ', '##ᆷ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄋ', '##ᅦ', '##ᄉ', '##ᅥ', '[UNK]', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄋ', '##ᅴ', '[UNK]', 'ᄎ', '##ᅮ', '##ᄎ', '##ᅥ', '##ᆫ', '##ᄒ', '##ᅢ', '##ᄌ', '##ᅯ', '.']"
보드카 추천해줄래?,높은,보드카,알 수 없음,"['ᄇ', '##ᅩ', '##ᄃ', '##ᅳ', '##ᄏ', '##ᅡ', 'ᄎ', '##ᅮ', '##ᄎ', '##ᅥ', '##ᆫ', '##ᄒ', '##ᅢ', '##ᄌ', '##ᅮ', '##ᆯ', '##ᄅ', '##ᅢ', '?']"
"지금 톡 쏘는 럼가 마시고 싶은데, 낮은 도수가 좋아.",낮은,럼,신맛,"['ᄌ', '##ᅵ', '##ᄀ', '##ᅳ', '##ᆷ', 'ᄐ', '##ᅩ', '##ᆨ', 'ᄊ', '##ᅩ', '##ᄂ', '##ᅳ', '##ᆫ', 'ᄅ', '##ᅥ', '##ᆷ', '##ᄀ', '##ᅡ', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᄀ', '##ᅩ', '[UNK]', ',', '[UNK]', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄀ', '##ᅡ', '[UNK]', '.']"
높은 도수의 보드카를 마시고 싶어.,높은,보드카,알 수 없음,"['[UNK]', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄋ', '##ᅴ', 'ᄇ', '##ᅩ', '##ᄃ', '##ᅳ', '##ᄏ', '##ᅡ', '##ᄅ', '##ᅳ', '##ᆯ', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᄀ', '##ᅩ', '[UNK]', '.']"
나는 낮은 도수의 소프트한 보드카을 마시고 싶어.,낮은,보드카,부드러운,"['ᄂ', '##ᅡ', '##ᄂ', '##ᅳ', '##ᆫ', '[UNK]', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄋ', '##ᅴ', 'ᄉ', '##ᅩ', '##ᄑ', '##ᅳ', '##ᄐ', '##ᅳ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄇ', '##ᅩ', '##ᄃ', '##ᅳ', '##ᄏ', '##ᅡ', '##ᄋ', '##ᅳ', '##ᆯ', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᄀ', '##ᅩ', '[UNK]', '.']"
"오늘 산뜻한 위스키를 마시고 싶어, 도수는 중간로.",중간,위스키,상큼한,"['ᄋ', '##ᅩ', '##ᄂ', '##ᅳ', '##ᆯ', '[UNK]', '[UNK]', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᄀ', '##ᅩ', '[UNK]', ',', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄂ', '##ᅳ', '##ᆫ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', '##ᄅ', '##ᅩ', '.']"
낮은 도수로 소프트한 보드카를 마셔보고 싶어요.,낮은,보드카,부드러운,"['[UNK]', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄅ', '##ᅩ', 'ᄉ', '##ᅩ', '##ᄑ', '##ᅳ', '##ᄐ', '##ᅳ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄇ', '##ᅩ', '##ᄃ', '##ᅳ', '##ᄏ', '##ᅡ', '##ᄅ', '##ᅳ', '##ᆯ', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅧ', '##ᄇ', '##ᅩ', '##ᄀ', '##ᅩ', '[UNK]', '.']"
도수가 중간인 쌉쌀한 보드카를 마셔보고 싶어요.,중간,보드카,쓴맛,"['ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄀ', '##ᅡ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', '##ᄋ', '##ᅵ', '##ᆫ', 'ᄊ', '##ᅡ', '##ᆸ', '##ᄊ', '##ᅡ', '##ᆯ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄇ', '##ᅩ', '##ᄃ', '##ᅳ', '##ᄏ', '##ᅡ', '##ᄅ', '##ᅳ', '##ᆯ', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅧ', '##ᄇ', '##ᅩ', '##ᄀ', '##ᅩ', '[UNK]', '.']"
위스키를 마시고 싶어.,알 수 없음,위스키,상큼한,"['[UNK]', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᄀ', '##ᅩ', '[UNK]', '.']"
낮은 도수의 럼를 마시고 싶어.,낮은,럼,알 수 없음,"['[UNK]', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄋ', '##ᅴ', 'ᄅ', '##ᅥ', '##ᆷ', '##ᄅ', '##ᅳ', '##ᆯ', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᄀ', '##ᅩ', '[UNK]', '.']"
도수가 중간인 매끄러운 칵테일를 마셔보고 싶어요.,중간,칵테일,부드러운,"['ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄀ', '##ᅡ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', '##ᄋ', '##ᅵ', '##ᆫ', '[UNK]', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', '##ᄅ', '##ᅳ', '##ᆯ', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅧ', '##ᄇ', '##ᅩ', '##ᄀ', '##ᅩ', '[UNK]', '.']"
럼를 마시고 싶어.,알 수 없음,럼,알 수 없음,"['ᄅ', '##ᅥ', '##ᆷ', '##ᄅ', '##ᅳ', '##ᆯ', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᄀ', '##ᅩ', '[UNK]', '.']"
보드카를 마시고 싶어.,낮은,보드카,알 수 없음,"['ᄇ', '##ᅩ', '##ᄃ', '##ᅳ', '##ᄏ', '##ᅡ', '##ᄅ', '##ᅳ', '##ᆯ', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᄀ', '##ᅩ', '[UNK]', '.']"
상큼한 맛이 나는 술을 추천해줘.,알 수 없음,알 수 없음,상큼한,"['ᄉ', '##ᅡ', '##ᆼ', '##ᄏ', '##ᅳ', '##ᆷ', '##ᄒ', '##ᅡ', '##ᆫ', '[UNK]', 'ᄂ', '##ᅡ', '##ᄂ', '##ᅳ', '##ᆫ', 'ᄉ', '##ᅮ', '##ᆯ', '##ᄋ', '##ᅳ', '##ᆯ', 'ᄎ', '##ᅮ', '##ᄎ', '##ᅥ', '##ᆫ', '##ᄒ', '##ᅢ', '##ᄌ', '##ᅯ', '.']"
